Time,Total arrivals
Dec-1997,647900
Jan-1998,712200
Feb-1998,611700
Mar-1998,574800
Apr-1998,597800
May-1998,532900
Jun-1998,560400
Jul-1998,696700
Aug-1998,614100
Sep-1998,628700
Oct-1998,731000
Nov-1998,638200
Dec-1998,680900
Jan-1999,754300
Feb-1999,653400
Mar-1999,635700
Apr-1999,601900
May-1999,550000
Jun-1999,566700
Jul-1999,734900
Aug-1999,645400
Sep-1999,674200
Oct-1999,776200
Nov-1999,686400
Dec-1999,696400
Jan-2000,753400
Feb-2000,708900
Mar-2000,663500
Apr-2000,707500
May-2000,594500
Jun-2000,615300
Jul-2000,794200
Aug-2000,679400
Sep-2000,753300
Oct-2000,821600
Nov-2000,759500
Dec-2000,820600
Jan-2001,874800
Feb-2001,733100
Mar-2001,707600
Apr-2001,719300
May-2001,603000
Jun-2001,656300
Jul-2001,835300
Aug-2001,697900
Sep-2001,705900
Oct-2001,750300
Nov-2001,625200
Dec-2001,753200
Jan-2002,787600
Feb-2002,708100
Mar-2002,729800
Apr-2002,649900
May-2002,598300
Jun-2002,625000
Jul-2002,802000
Aug-2002,691600
Sep-2002,692100
Oct-2002,828800
Nov-2002,714900
Dec-2002,769800
Jan-2003,838900
Feb-2003,720600
Mar-2003,672800
Apr-2003,574100
May-2003,487900
Jun-2003,545900
Jul-2003,771500
Aug-2003,675600
Sep-2003,727000
Oct-2003,839300
Nov-2003,774100
Dec-2003,837500
Jan-2004,930200
Feb-2004,815100
Mar-2004,754000
Apr-2004,770600
May-2004,671200
Jun-2004,705700
Jul-2004,952600
Aug-2004,785000
Sep-2004,812700
Oct-2004,951700
Nov-2004,838200
Dec-2004,919500
Jan-2005,1073800
Feb-2005,879100
Mar-2005,882600
Apr-2005,809600
May-2005,708700
Jun-2005,763400
Jul-2005,1031900
Aug-2005,847800
Sep-2005,893000
Oct-2005,989400
Nov-2005,842200
Dec-2005,944700
Jan-2006,1092400
Feb-2006,892900
Mar-2006,845900
Apr-2006,849400
May-2006,722600
Jun-2006,779600
Jul-2006,1036200
Aug-2006,845400
Sep-2006,909100
Oct-2006,1035500
Nov-2006,893800
Dec-2006,1007600
Jan-2007,1135600
Feb-2007,929600
Mar-2007,945300
Apr-2007,909700
May-2007,780000
Jun-2007,841600
Jul-2007,1085800
Aug-2007,926300
Sep-2007,956600
Oct-2007,1107600
Nov-2007,964100
Dec-2007,1031700
Jan-2008,1208100
Feb-2008,1039500
Mar-2008,998200
Apr-2008,929800
May-2008,846000
Jun-2008,881300
Jul-2008,1163800
Aug-2008,964100
Sep-2008,959200
Oct-2008,1129100
Nov-2008,962200
Dec-2008,1033300
Jan-2009,1238600
Feb-2009,998900
Mar-2009,954200
Apr-2009,982100
May-2009,857200
Jun-2009,862700
Jul-2009,1155000
Aug-2009,1009800
Sep-2009,1045300
Oct-2009,1219100
Nov-2009,1033100
Dec-2009,1138500
Jan-2010,1352000
Feb-2010,1099700
Mar-2010,1063900
Apr-2010,1035800
May-2010,905900
Jun-2010,964900
Jul-2010,1309700
Aug-2010,1090000
Sep-2010,1151000
Oct-2010,1308300
Nov-2010,1098800
Dec-2010,1192700
Jan-2011,1459700
Feb-2011,1166400
Mar-2011,1067900
Apr-2011,1102900
May-2011,1034900
Jun-2011,996700
Jul-2011,1382300
Aug-2011,1154900
Sep-2011,1178800
Oct-2011,1389300
Nov-2011,1158000
Dec-2011,1233200
Jan-2012,1538000
Feb-2012,1234500
Mar-2012,1156100
Apr-2012,1194600
May-2012,1014800
Jun-2012,1097400
Jul-2012,1429300
Aug-2012,1203700
Sep-2012,1252500
Oct-2012,1454300
Nov-2012,1222100
Dec-2012,1323100
Jan-2013,1578400
Feb-2013,1261400
Mar-2013,1239500
Apr-2013,1226800
May-2013,1097900
Jun-2013,1161600
Jul-2013,1511200
Aug-2013,1304700
Sep-2013,1325700
Oct-2013,1532800
Nov-2013,1283800
Dec-2013,1422300
Jan-2014,1744900
Feb-2014,1339000
Mar-2014,1280100
Apr-2014,1331200
May-2014,1187500
Jun-2014,1179400
Jul-2014,1594100
Aug-2014,1362400
Sep-2014,1381000
Oct-2014,1574500
Nov-2014,1342800
Dec-2014,1455600
Jan-2015,1780400
Feb-2015,1416000
Mar-2015,1388200
Apr-2015,1365400
May-2015,1215100
Jun-2015,1233600
Jul-2015,1646100
Aug-2015,1419500
Sep-2015,1456900
Oct-2015,1650400
Nov-2015,1424700
Dec-2015,1584200
Jan-2016,1908300
Feb-2016,1560100
Mar-2016,1479900
Apr-2016,1473700
May-2016,1304800
Jun-2016,1326800
Jul-2016,1829100
Aug-2016,1511500
Sep-2016,1587300
Oct-2016,1778900
Nov-2016,1512900
Dec-2016,1716300
Jan-2017,2066300
Feb-2017,1631400
Mar-2017,1522700
Apr-2017,1649800
May-2017,1401100
Jun-2017,1421100
Jul-2017,1909100
Aug-2017,1623600
Sep-2017,1666100
Oct-2017,1879600
Nov-2017,1602200
Dec-2017,1755100
Jan-2018,2130700
Feb-2018,1729200
Mar-2018,1682300
Apr-2018,1668300
May-2018,1480400
Jun-2018,1513000
Jul-2018,2009900
Aug-2018,1718600
Sep-2018,1722000
Oct-2018,1963700
Nov-2018,1668000
Dec-2018,1853600
